# HELP http_server_requests_seconds  
# TYPE http_server_requests_seconds histogram
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="0.005",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="0.1",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="0.5",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="1.0",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="3.0",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="10.0",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="30.0",} 49.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",le="+Inf",} 49.0
http_server_requests_seconds_count{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",} 49.0
http_server_requests_seconds_sum{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/actuator/prometheus",} 0.416372016
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="0.005",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="0.1",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="0.5",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="1.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="3.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="10.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="30.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",le="+Inf",} 1.0
http_server_requests_seconds_count{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",} 1.0
http_server_requests_seconds_sum{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/chaos",} 0.044549496
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="0.005",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="0.1",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="0.5",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="1.0",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="3.0",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="10.0",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="30.0",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",le="+Inf",} 9.0
http_server_requests_seconds_count{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",} 9.0
http_server_requests_seconds_sum{exception="None",method="GET",outcome="SUCCESS",status="200",uri="/api/StartProcessCalltoApp2",} 1178.205635458
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="0.005",} 0.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="0.1",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="0.5",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="1.0",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="3.0",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="10.0",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="30.0",} 1.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",le="+Inf",} 1.0
http_server_requests_seconds_count{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",} 1.0
http_server_requests_seconds_sum{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/chaos",} 0.011703747
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="0.005",} 0.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="0.1",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="0.5",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="1.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="3.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="10.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="30.0",} 1.0
http_server_requests_seconds_bucket{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",le="+Inf",} 1.0
http_server_requests_seconds_count{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",} 1.0
http_server_requests_seconds_sum{exception="None",method="GET",outcome="SERVER_ERROR",status="500",uri="/api/chaos",} 0.010150156
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="0.001",} 0.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="0.005",} 6.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="0.1",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="0.5",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="1.0",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="3.0",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="10.0",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="30.0",} 8.0
http_server_requests_seconds_bucket{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",le="+Inf",} 8.0
http_server_requests_seconds_count{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",} 8.0
http_server_requests_seconds_sum{exception="MissingServletRequestParameterException",method="GET",outcome="CLIENT_ERROR",status="400",uri="/api/StartProcessCalltoApp2",} 0.034350549
